Local Authority,Business Name,Business Type,Address,Postcode,Latitude,Longitude,Hygiene Score,Structural Score,Hygiene Rating,Deprivation Score,Deprivation Rank
Buckinghamshire,Noodle Nation,Restaurant/Cafe/Canteen,5 Crown Lane,HP11 2HF,51.6286686,-0.7511225,5,5,5,11.921,10315.59
Buckinghamshire,Caprinos Pizza,Restaurant/Cafe/Canteen,218 Desborough Road,HP11 2TE,51.631817,-0.761774,5,5,5,11.921,10315.59
Buckinghamshire,Tabletop Republic,Restaurant/Cafe/Canteen,37 - 38 High Street,HP11 2AG,51.628598,-0.749813,5,5,5,11.921,10315.59
Buckinghamshire,Greek House Souvlaki,Restaurant/Cafe/Canteen,4 West Street,MK18 1HL,52.000246,-0.989076,5,5,5,11.921,10315.59
Buckinghamshire,Prego,Restaurant/Cafe/Canteen,4 High Street,MK18 1NT,52.0010192,-0.9858227,5,5,5,11.921,10315.59
Buckinghamshire,Red Chilli Gold,Restaurant/Cafe/Canteen,9 High Street,MK18 1NT,52.0012838,-0.9852195,5,5,5,11.921,10315.59
Buckinghamshire,Grounded Kitchen,Restaurant/Cafe/Canteen,4 Pauls Row,HP11 2HQ,51.6290277,-0.7519218,5,5,5,11.921,10315.59
Buckinghamshire,Mr India,Restaurant/Cafe/Canteen,911 - 913 London Road,HP10 9TB,51.61088181,-0.700618982,5,5,5,11.921,10315.59
Buckinghamshire,Wycombe Museum,Restaurant/Cafe/Canteen,Priory Avenue,HP13 6PX,51.631588,-0.747766,5,5,5,11.921,10315.59
Buckinghamshire,Lara's Restaurant,Restaurant/Cafe/Canteen,137 High Street,SL9 9QL,51.607873,-0.555599,5,5,5,11.921,10315.59
Buckinghamshire,Lomito,Restaurant/Cafe/Canteen,55 Packhorse Road,SL9 8PE,51.58776856,-0.554172993,5,5,5,11.921,10315.59
Buckinghamshire,Kuzzu,Restaurant/Cafe/Canteen,56 Kingsbury,HP20 2JE,51.8179288,-0.813763,5,5,5,11.921,10315.59
Buckinghamshire,McDonalds,Restaurant/Cafe/Canteen,London Road,MK18 1SR,,,5,5,5,11.921,10315.59
Cornwall,The Fish Grill And More,Mobile caterer,1 Jetty Street,PL26 6UH,50.2698283,-4.7873748,0,5,5,22.321,19456.45
Cornwall,Ellie's Soul Kitchen,Mobile caterer,Ellies Soul Kitchen,TR12 7NA,,,0,5,5,22.321,19456.45
Cornwall,Copper Coast Snack Bar,Mobile caterer,Bradford Building Supplies,TR20 8HX,50.1303191,-5.5043177,0,5,5,22.321,19456.45
Cornwall,Flotsam,Mobile caterer,Mobile Catering Unit,TR8 5RE,,,0,5,5,22.321,19456.45
Cornwall,Mevagissey Bay Fresh Fish,Mobile caterer,Top Flat,PL26 6QH,50.2703408,-4.7870118,0,5,5,22.321,19456.45
Cumberland,The Tipsy Filly,Restaurant/Cafe/Canteen,,,,,0,0,5,23.807,18871.62
Cumberland,Custom Cakes by Debbie Louise,Restaurant/Cafe/Canteen,,,,,0,0,5,23.807,18871.62
Cumberland,Bongo's Coffee Shop,Restaurant/Cafe/Canteen,,,,,0,0,5,23.807,18871.62
Cumberland,Cakes by Alison Fawkes,Restaurant/Cafe/Canteen,,,,,0,0,5,23.807,18871.62
Cumberland,Blackdyke Farm Competition & Riding Centre,Restaurant/Cafe/Canteen,Blackdyke Farm And Riding Cent,CA6 4EY,54.9535141,-2.968239069,0,0,5,23.807,18871.62
Cumberland,Casa Crisci,Restaurant/Cafe/Canteen,Unit 4 Chapel Court,CA1 1NT,54.8914824,-2.9290473,0,0,5,23.807,18871.62
Cumberland,Roman Wall Lodges,Restaurant/Cafe/Canteen,Roman Wall Lodges,CA5 6ED,54.922704,-3.020563,0,0,5,23.807,18871.62
Cumberland,Chatsworth Tennis Club,Restaurant/Cafe/Canteen,,CA1 1LS,54.89648438,-2.918502092,0,0,5,23.807,18871.62
Isle of Wight,Twisted Pizza,Mobile caterer,,,,,0,5,5,24.599,20855.08
Isle of Wight,Nomad Event Catering,Mobile caterer,,,,,0,5,5,24.599,20855.08
Isle of Wight,Oasis Catering,Mobile caterer,,,,,0,5,5,24.599,20855.08
Milton Keynes,Wilson's Street Food,Mobile caterer,,MK14 5GH,52.0818033,-0.7527829,0,5,5,18.503,15478.75
Plymouth,Crowne Plaza,Hotel/bed & breakfast/guest house,,PL1 2HJ,50.367178,-4.141683,0,5,5,24.087,18688.94
Portsmouth,Graham Penrose Ice Cream,Mobile caterer,,,,,0,5,5,26.378,20239.91
Portsmouth,The Toastie Tin,Mobile caterer,,,,,0,5,5,26.378,20239.91
Portsmouth,Coastguard Studio (On The Road),Mobile caterer,91 Clarendon Road,PO4 0SA,50.78073883,-1.078868985,0,5,5,26.378,20239.91
Portsmouth,Funki Kitchen Company,Mobile caterer,,,,,0,5,5,26.378,20239.91
Portsmouth,Dinky Donuts,Mobile caterer,Commercial Road,PO1 1HG,50.79906846,-1.09115358,0,5,5,26.378,20239.91
Portsmouth,Desi Bites,Mobile caterer,,,,,0,5,5,26.378,20239.91
Reading,The Coffee Van - Civic Offices,Mobile caterer,,RG1 2LU,51.45188522,-0.972461998,0,5,5,18.558,16030.61
Reading,Breakfast Box Mobile Van,Mobile caterer,,,,,0,5,5,18.558,16030.61
Reading,What the fudge!,Mobile caterer,,,,,0,5,5,18.558,16030.61
Somerset,Bason Bridge Brewing Company,Manufacturers/packers,Unit 2,TA9 4RG,51.211483,-2.938750982,0,0,5,19.137,16776.04
Somerset,Nikki's Cakes,Manufacturers/packers,,,,,0,0,5,19.137,16776.04
Somerset,Budd and Sons,Manufacturers/packers,,,,,0,0,5,19.137,16776.04
Somerset,Harry's Cider,Manufacturers/packers,,,,,0,0,5,19.137,16776.04
Somerset,Ganjika Holistics,Manufacturers/packers,,,,,0,0,5,19.137,16776.04
Somerset,The Hobby Farm,Manufacturers/packers,,,,,0,0,5,19.137,16776.04
Somerset,Badgworth Brewhouse,Manufacturers/packers,Home Farm,BS26 2QN,51.2671285,-2.8699062,0,0,5,19.137,16776.04
Somerset,Dark Moon Chocolate,Manufacturers/packers,,,,,0,0,5,19.137,16776.04
Somerset,The Sitwell Supper Club Bar and Wine Store,Manufacturers/packers,,,,,0,0,5,19.137,16776.04
Somerset,Judith Male,Manufacturers/packers,,,,,0,0,5,19.137,16776.04
Somerset,Patricia Burge,Manufacturers/packers,,,,,0,0,5,19.137,16776.04
Somerset,Sunflower Kitchen,Manufacturers/packers,,,,,0,0,5,19.137,16776.04
Somerset,Rose Cottage Cakes,Manufacturers/packers,,,,,0,0,5,19.137,16776.04
Somerset,Daisy Lavendar,Manufacturers/packers,,,,,0,0,5,19.137,16776.04
Somerset,Uncle Dick's Somerset Cider,Manufacturers/packers,,,,,0,0,5,19.137,16776.04
Somerset,South Sun Biltong,Manufacturers/packers,,,,,0,0,5,19.137,16776.04
Somerset,Those Rodds Ltd,Manufacturers/packers,,,,,0,0,5,19.137,16776.04
Somerset,Fitzroy Farm,Manufacturers/packers,,,,,0,0,5,19.137,16776.04
South Gloucestershire,Aqua Restaurants,Mobile caterer,,,,,0,5,5,11.614,10114.56
South Gloucestershire,Sugar Shack,Mobile caterer,,,,,0,5,5,11.614,10114.56
South Gloucestershire,Deluxe Catering,Mobile caterer,,,,,0,5,5,11.614,10114.56
South Gloucestershire,S&G Catering,Mobile caterer,15 Cotswold Road,BS37 6EN,51.5351343,-2.3938002,0,5,5,11.614,10114.56
South Gloucestershire,Kacey's Diner,Mobile caterer,,,,,0,5,5,11.614,10114.56
South Gloucestershire,Hot Temptations,Mobile caterer,,,,,0,5,5,11.614,10114.56
South Gloucestershire,Snack World Van,Mobile caterer,Wickes Building Supplies Ltd,BS30 7DA,51.44451904,-2.49794507,0,5,5,11.614,10114.56
South Gloucestershire,Get Stuffed Bristol,Mobile caterer,Jarretts Garden Centre,BS30 6EE,51.430358,-2.477895,0,5,5,11.614,10114.56
South Gloucestershire,The Filling Station,Mobile caterer,Layby Holloway Road,BS35 4GG,51.54914,-2.649303,0,5,5,11.614,10114.56
South Gloucestershire,C D Griffiths,Mobile caterer,Washingpool Farm,BS35 5RE,51.540853,-2.620519,0,5,5,11.614,10114.56
Southampton,Vincenzo's,Mobile caterer,,,,,0,5,5,25.611,20194.24
Swindon,Holiday Inn Swindon,Hotel/bed & breakfast/guest house,Marlborough Road,SN3 6AA,51.54331,-1.734293,0,5,5,17.554,14096.54
Torbay,Ashfield Guest House,Hotel/bed & breakfast/guest house,9 Scarborough Road Torquay Devon,TQ2 5UJ,50.4673613,-3.5377583,0,5,5,26.917,21271.67
Torbay,Burleigh House Hotel,Hotel/bed & breakfast/guest house,25 Newton Road Torquay Devon,TQ2 5DB,50.4731003,-3.5438073,0,5,5,26.917,21271.67
Torbay,Jacaranda Hotel,Hotel/bed & breakfast/guest house,8 Beach Road Paignton Devon,TQ4 6AY,50.4366467,-3.562097,0,5,5,26.917,21271.67
Torbay,Crowndale Hotel,Hotel/bed & breakfast/guest house,18 Bridge Road Tormohun Torquay Torbay,TQ2 5BA,50.4679877,-3.5420766,0,5,5,26.917,21271.67
Torbay,Bayside,Hotel/bed & breakfast/guest house,21 Marine Drive Preston Paignton Torbay,TQ3 2NJ,50.4417893,-3.5588861,0,5,5,26.917,21271.67
Torbay,Haven House,Hotel/bed & breakfast/guest house,11 Scarborough Road Torquay Devon,TQ2 5UJ,50.4672783,-3.5379106,0,5,5,26.917,21271.67
Torbay,The Bahamas,Hotel/bed & breakfast/guest house,17 Avenue Road Torquay Devon,TQ2 5LB,50.4671421,-3.5427677,0,5,5,26.917,21271.67
Torbay,Trentham Guest House,Hotel/bed & breakfast/guest house,6 Norman Road Paignton Devon,TQ3 2BE,50.4388344,-3.5605917,0,5,5,26.917,21271.67
Torbay,Easton Court Guest House,Hotel/bed & breakfast/guest house,5 St Andrews Road Roundham With Hyde Paignton Torbay,TQ4 6HA,,,0,5,5,26.917,21271.67
Torbay,The Clifton at Paignton,Hotel/bed & breakfast/guest house,9-10 Kernou Road Roundham With Hyde Paignton Torbay,TQ4 6BA,50.4358196,-3.5620697,0,5,5,26.917,21271.67
Torbay,Atlantis Hotel,Hotel/bed & breakfast/guest house,68 Belgrave Road Torquay Devon,TQ2 5HY,50.467704,-3.5397281,0,5,5,26.917,21271.67
Torbay,Hotel Hudson,Hotel/bed & breakfast/guest house,545 Babbacombe Road Torquay Devon,TQ1 1HQ,50.4620059,-3.5195778,0,5,5,26.917,21271.67
Walsall,Polly's Pantry,Other catering premises,,,,,0,0,5,31.732,22512.04
Walsall,Inglenook Cakes,Other catering premises,,,,,0,0,5,31.732,22512.04
Walsall,Cakes by Lady,Other catering premises,,,,,0,0,5,31.732,22512.04
Walsall,Blue Moon Catering,Other catering premises,,,,,0,0,5,31.732,22512.04
Walsall,Delish_Ash Queen Cakes and Patisserie,Other catering premises,,,,,0,0,5,31.732,22512.04
Walsall,Lola,Other catering premises,,,,,0,0,5,31.732,22512.04
Walsall,Masjid-E-Umar Mosque,Other catering premises,Masjid E Umar,WS10 8BB,52.570343,-2.026882,0,0,5,31.732,22512.04
Walsall,Mellors Catering Services,Other catering premises,St Thomas Moore Rc,WV14 7BL,52.573479,-2.057059,0,0,5,31.732,22512.04
Walsall,"The Fairlawns Club, The Fairlawns",Other catering premises,Fairlawns Hotel Little Aston Road,WS9 0NU,52.602783,-1.898194,0,0,5,31.732,22512.04
Walsall,Playland,Other catering premises,First Floor,WS1 1QZ,52.58376694,-1.980474234,0,0,5,31.732,22512.04
Walsall,Midland Mencap,Other catering premises,Norwich Union House,WS1 1TJ,52.587649,-1.977358,0,0,5,31.732,22512.04
Walsall,Walsall Deaf People's Centre,Other catering premises,Sports & Social Club,WS4 2BX,52.589915,-1.974936,0,0,5,31.732,22512.04
Walsall,Walsall Seventh-Day Adventist Church,Other catering premises,.,WS2 8AU,52.593026,-1.981341,0,0,5,31.732,22512.04
West Berkshire,Veni & Son Food To Fork,Mobile caterer,Woodrows Farm Aldworth Road,RG8 9RS,51.5069275,-1.2175933,0,5,5,11.049,9686.36
West Oxfordshire,Tony's Ready Meals,Manufacturers/packers,,,,,0,0,5,10.148,8641.18
West Oxfordshire,Abigail's Kitchen,Manufacturers/packers,,,,,0,0,5,10.148,8641.18
West Oxfordshire,Barney Wyld's,Manufacturers/packers,,,,,0,0,5,10.148,8641.18
West Oxfordshire,The Yafo Kitchen,Manufacturers/packers,,,,,0,0,5,10.148,8641.18
West Oxfordshire,Ditchley Venison,Manufacturers/packers,,,,,0,0,5,10.148,8641.18
West Oxfordshire,Natura Cocktails,Manufacturers/packers,,,,,0,0,5,10.148,8641.18
West Oxfordshire,Hunters Cake Company,Manufacturers/packers,2 Ventura Park,OX18 1AD,51.766342,-1.5845882,0,0,5,10.148,8641.18
West Oxfordshire,CPU,Manufacturers/packers,The Old Coal Yard,OX7 4EF,,,0,0,5,10.148,8641.18
Wiltshire,The Wood Bar Ltd,Mobile caterer,UNIT 4 GROUND FLOOR DOLPHIN TRADING ESTATE SOUTHAMPTON ROAD,,51.0640476,-1.7803178,0,5,5,13.608,11989.35
Wiltshire,The Wood Bar Ltd @ The Kiosk,Mobile caterer,VICTORIA PARK BOWLING GREEN STRATFORD ROAD,,51.0848999,-1.80469,0,5,5,13.608,11989.35
